ref_odoo;libelle;code_barre;categorie;prix_achat
AGENDA JNR;AGJNR;;PLV;
AL ZAMAN - ARABIC QUEEN;ALZ005;;CHICHAS - GOUTS;
AL ZAMAN - HAWAII ISLAND;ALZ002;;CHICHAS - GOUTS;
AL ZAMAN - ICE GRAPE;ALZ006;;CHICHAS - GOUTS;
AL ZAMAN - NANA;ALZ003;;CHICHAS - GOUTS;
AL ZAMAN - PINK LADY;ALZ004;;CHICHAS - GOUTS;
AL ZAMAN - ROUTE 66;ALZ001;;CHICHAS - GOUTS;
AL ZAMAN - WATERMELON ICE;ALZ007;;CHICHAS - GOUTS;
ALL STAR WEED ALIEN KUSH 3G;ALL002;;CBD - ALL STAR WEED;
ALL STAR WEED WHITE WIDOW 3G;ALL004;;CBD - ALL STAR WEED;
ALL STAR WEED ZUSHI 3G;ALL005;;CBD - ALL STAR WEED;
ALLUME CHARBON A GAZ;C001;;CHICHA / ACCESSOIRES;
ALLUME CHARBON DUM 1000W;C002;;CHICHA / ACCESSOIRES;
ALLUME CHARBON DUM DOUBLE;C0040;;CHICHA / ACCESSOIRES;
BALANCE AMSTERDAM;BAL001;;ACCESSOIRES FUMEURS;
BALANCE OR / RAINBOW;BAL002;;ACCESSOIRES FUMEURS;
BALANCE RASTA / PINK / BLUE;BAL000;;ACCESSOIRES FUMEURS;
BALANCE SYNDICATE;BAL006;;ACCESSOIRES FUMEURS;
BANG ACRY COLOR LEAF 20CM;A013;;ACCESSOIRES FUMEURS;
BANG ACRY WHITE / GREEN;A015;;ACCESSOIRES FUMEURS;
BATTERIE WPUFF FUSION 30K;B006;;VAPES - LIQUIDEO;
BIC J25 MINI X50;BIC002;;BRIQUETS - BIC;
BIC J26 X50;BIC001;;BRIQUETS - BIC;
BILLE MENTHE GLACIALE;BI001;;BILLES;
BILLE MENTHE VERTE;BI002;;BILLES;
BLUNT BLUE / RAISIN;BL002;;FEUILLES - BLUNT JUICY;
BLUNT DISPLAY / BLUE / RAISIN;BL008;;FEUILLES - BLUNT JUICY;
BLUNT DISPLAY / MANIC / CHANVRE;BL012;;FEUILLES - BLUNT JUICY;
BLUNT DISPLAY / ORIGINAL / NATURE;BL010;;FEUILLES - BLUNT JUICY;
BLUNT DISPLAY / PURPLE / MYRTILLE;BL009;;FEUILLES - BLUNT JUICY;
BLUNT DISPLAY / RED / FRAISE;BL007;;FEUILLES - BLUNT JUICY;
BLUNT DISPLAY / TROPICAL;BL011;;FEUILLES - BLUNT JUICY;
BLUNT MANIC / CHANVRE;BL006;;FEUILLES - BLUNT JUICY;
BLUNT ORINGINAL / NATURE;BL005;;FEUILLES - BLUNT JUICY;
BLUNT PURPLE / MYRTILLE;BL003;;FEUILLES - BLUNT JUICY;
BLUNT RED / FRAISE;BL001;;FEUILLES - BLUNT JUICY;
BLUNT TROPICAL;BL004;;FEUILLES - BLUNT JUICY;
BOBINES THERMIQUES POUR CAISSE X100 - 55G - 57X50X12MM;BOB002;;FOURNITURES BUREAU;
BOBINES THERMIQUES POUR CAISSES X50 - 55G - 80X80X12MM;BOB003;;FOURNITURES BUREAU;
BOBINES THERMIQUES POUR TPE X100 - 55G - 57X40X12MM;BOB001;;FOURNITURES BUREAU;
BOISSON ENERGISANTE - THE BULLDOG X24;BUL001;;BOISSONS;
BOOSTER BLEU LIQUIDEO OFFERT;;;ELIQUIDES - LIQUIDEO;
BOOSTER NOIR LIQUIDEO 10ML;BOOST001;;ELIQUIDES - LIQUIDEO;
BRIQUET ADAMO X50/211002;B201;;BRIQUETS - GAZ;
BRIQUET ALLUME-BOUGIE CAPRI SMILEY X25/327042;B202;;BRIQUETS - GAZ;
BRIQUET ALLUME-BOUGIE MONACO BLACK AND WHITE X25/347104;B204;;BRIQUETS - GAZ;
BRIQUET ALLUME-BOUGIE MONACO SMILEY X25/347064;B203;;BRIQUETS - GAZ;
BRIQUET ANGEL X20;BRI0050;;BRIQUETS - LAZER;
BRIQUET ANGEL X25;BRI0017;;BRIQUETS - LAZER;
BRIQUET CALAVERAS X 50;B033;;BRIQUETS - GAZ;
BRIQUET CHALUMEAU FIRELIGHT;B012;;BRIQUETS - LAZER;
BRIQUET ELECTRONIQUE CANA 2 X 50;B100;;BRIQUETS - GAZ;
BRIQUET ELECTRONIQUE CANA 420 X 50;B101;;BRIQUETS - GAZ;
BRIQUET ELECTRONIQUE LUX LEAF SMILE X50;B042;;BRIQUETS - GAZ;
BRIQUET ELECTRONIQUE MATTEO METAL CASE GOLD LEAF X25/184108;B0047;;BRIQUETS - GAZ;
BRIQUET ELECTRONIQUE X50;B021;;BRIQUETS - GAZ;
BRIQUET FLAMME ROUGE LUX LIPS X50;B041;;BRIQUETS - GAZ;
